City Name,Customer ID,Customer Name,Customer Segment,Sum of Discount,First Name,Manager Performance Class,Year,Quarter,Month,Day,Count of Order ID,Product Category,Product Container,Product Name,Product Sub-Category,Sum of Profit,Region Code,Sum of Sales,Year,Quarter,Month,Day,Ship Mode,Sum of Shipping Cost,State,Sum of Unit Price,Count of Zip Code
New York City,478,Michael Wiggins,Small Business,0.01,Erin,Low,2011,Qtr 3,August,23,1,Office Supplies,Small Box,Eldon® Gobal File Keepers,Storage & Organization,-58.24,EAST,487.68,2011,Qtr 3,August,25,Regular Air,4.53,New York,15.14,1
New York City,478,Michael Wiggins,Small Business,0.04,Erin,Low,2011,Qtr 4,November,18,1,Office Supplies,Small Box,Avery 494,Labels,8.34,EAST,108.55,2011,Qtr 4,November,19,Regular Air,0.5,New York,2.61,1
New York City,478,Michael Wiggins,Small Business,0.01,Erin,Low,2011,Qtr 4,November,18,1,Office Supplies,Wrap Bag,Newell 315,Pens & Art Supplies,46.01,EAST,706.11,2011,Qtr 4,November,19,Regular Air,0.96,New York,5.98,1
New York City,478,Michael Wiggins,Small Business,0,Erin,Low,2011,Qtr 4,November,24,1,Technology,Small Box,Belkin ErgoBoard™ Keyboard,Computer Peripherals,45.37,EAST,2813.4,2011,Qtr 4,November,26,Regular Air,6.5,New York,30.98,1
New York City,478,Michael Wiggins,Small Business,0.08,Erin,Low,2012,Qtr 4,November,29,1,Technology,Small Box,Belkin MediaBoard 104- Keyboard,Computer Peripherals,-57.53,EAST,2269.98,2012,Qtr 4,November,30,Regular Air,4,New York,27.48,1
New York City,478,Michael Wiggins,Small Business,0.04,Erin,Low,2013,Qtr 1,March,14,1,Furniture,Jumbo Box,Hon 61000 Series Interactive Training Tables,Tables,33.988949999999996,EAST,2009.05,2013,Qtr 1,March,15,Delivery Truck,46.59,New York,44.43,1
New York City,491,Toni Swanson,Consumer,0.02,Erin,High,2010,Qtr 4,December,20,1,Technology,Jumbo Drum,Okidata ML395C Color Dot Matrix Printer,Office Machines,2028.12,EAST,31670.6,2010,Qtr 4,December,22,Delivery Truck,14.7,New York,1360.14,1
New York City,491,Toni Swanson,Consumer,0.08,Erin,Low,2010,Qtr 2,May,15,1,Office Supplies,Wrap Bag,Newell 343,Pens & Art Supplies,-2.12,EAST,66.7,2010,Qtr 2,May,17,Regular Air,0.96,New York,2.94,1
New York City,491,Toni Swanson,Consumer,0.01,Erin,Low,2010,Qtr 3,August,10,1,Office Supplies,Small Box,Xerox 1897,Paper,-69.07,EAST,217,2010,Qtr 3,August,11,Regular Air,6.07,New York,4.98,1
New York City,491,Toni Swanson,Consumer,0.02,Erin,Low,2010,Qtr 4,December,20,1,Office Supplies,Small Box,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Paper,-63.51,EAST,239.82,2010,Qtr 4,December,22,Regular Air,9.86,New York,9.06,1
New York City,491,Toni Swanson,Consumer,0.03,Erin,Low,2011,Qtr 3,September,10,1,Office Supplies,Small Box,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Paper,823.26,EAST,3397.27,2011,Qtr 3,September,12,Express Air,6.79,New York,55.48,1
New York City,491,Toni Swanson,Consumer,0,Erin,Low,2011,Qtr 3,September,10,1,Office Supplies,Small Box,"Iris® 3-Drawer Stacking Bin, Black",Storage & Organization,-46.2,EAST,106.6,2011,Qtr 3,September,11,Regular Air,11.52,New York,20.89,1
New York City,491,Toni Swanson,Consumer,0.06,Erin,Low,2013,Qtr 2,May,15,1,Technology,Small Pack,"Imation 3.5 IBM Formatted Diskettes, 10/Box",Computer Peripherals,-36.63,EAST,371.28,2013,Qtr 2,May,17,Regular Air,2.38,New York,8.32,1
New York City,491,Toni Swanson,Consumer,0.04,Erin,Low,2013,Qtr 3,July,20,1,Office Supplies,Small Box,Advantus Rolling Storage Box,Storage & Organization,6.11,EAST,383.52,2013,Qtr 3,July,21,Regular Air,4.96,New York,17.15,1
New York City,491,Toni Swanson,Consumer,0.02,Erin,Low,2013,Qtr 3,July,20,1,Office Supplies,Small Box,Xerox 21,Paper,-92.05,EAST,320.23,2013,Qtr 3,July,22,Regular Air,6.6,New York,6.48,1
New York City,491,Toni Swanson,Consumer,0.02,Erin,Low,2013,Qtr 3,July,27,1,Furniture,Large Box,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Office Furnishings,464.05,EAST,1867.65,2013,Qtr 3,August,5,Express Air,24.49,New York,105.34,1
New York City,491,Toni Swanson,Consumer,0.08,Erin,Low,2013,Qtr 3,July,27,1,Furniture,Wrap Bag,Ultra Commercial Grade Dual Valve Door Closer,Office Furnishings,651.74,EAST,2230.19,2013,Qtr 3,August,1,Regular Air,3.04,New York,39.89,1
New York City,607,Clara Hauser,Corporate,0.04,Erin,Low,2011,Qtr 1,March,1,1,Office Supplies,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Appliances,32.6,EAST,560.51,2011,Qtr 1,March,3,Regular Air,4.5,New York,80.98,1
New York City,607,Clara Hauser,Corporate,0.08,Erin,Low,2011,Qtr 1,March,1,1,Office Supplies,Small Box,Xerox 23,Paper,-56.68,EAST,189.95,2011,Qtr 1,March,2,Regular Air,5.14,New York,6.48,1
New York City,607,Clara Hauser,Corporate,0.1,Erin,Low,2011,Qtr 3,September,14,1,Office Supplies,Small Box,Acco Perma® 2700 Stacking Storage Drawers,Storage & Organization,-35.47,EAST,1005.26,2011,Qtr 3,September,16,Regular Air,6.64,New York,29.74,1
New York City,607,Clara Hauser,Corporate,0.1,Erin,Low,2011,Qtr 3,September,14,1,Technology,Small Box,Microsoft Natural Keyboard Elite,Computer Peripherals,-22.63,EAST,1594.12,2011,Qtr 3,September,16,Regular Air,4,New York,39.98,1
New York City,607,Clara Hauser,Corporate,0.01,Erin,Low,2012,Qtr 1,February,7,1,Office Supplies,Small Box,Cardinal Holdit Business Card Pockets,Binders and Binder Accessories,-85.008,EAST,207.63,2012,Qtr 1,February,9,Regular Air,4.95,New York,4.98,1
New York City,607,Clara Hauser,Corporate,0.1,Erin,Low,2013,Qtr 1,March,29,1,Office Supplies,Small Box,Xerox 1996,Paper,-162.75,EAST,174.1,2013,Qtr 1,March,31,Regular Air,9.17,New York,6.48,1
New York City,607,Clara Hauser,Corporate,0.07,Erin,Low,2013,Qtr 1,March,29,1,Office Supplies,Small Pack,Boston KS Multi-Size Manual Pencil Sharpener,Pens & Art Supplies,-59.83,EAST,693.17,2013,Qtr 1,March,31,Regular Air,8.99,New York,22.99,1
New York City,607,Clara Hauser,Corporate,0.05,Erin,Low,2013,Qtr 3,September,16,1,Office Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,1.05,EAST,141.87,2013,Qtr 3,September,18,Regular Air,0.7,New York,2.1,1
New York City,607,Clara Hauser,Corporate,0.06,Erin,Medium,2011,Qtr 1,January,29,1,Office Supplies,Small Box,Fellowes Staxonsteel® Drawer Files,Storage & Organization,147.51600000000002,EAST,5155.07,2011,Qtr 1,January,31,Regular Air,19.99,New York,193.17,1
New York City,607,Clara Hauser,Corporate,0.09,Erin,Medium,2011,Qtr 3,August,16,1,Technology,Large Box,Canon PC1060 Personal Laser Copier,Copiers and Fax,-362.88,EAST,8667.81,2011,Qtr 3,August,23,Express Air,24.49,New York,699.99,1
New York City,607,Clara Hauser,Corporate,0,Erin,Medium,2011,Qtr 4,November,21,1,Technology,Small Box,R280,Telephones and Communication,398.007,EAST,8790.83,2011,Qtr 4,November,23,Regular Air,8.99,New York,155.99,1
New York City,607,Clara Hauser,Corporate,0.09,Erin,Medium,2012,Qtr 3,July,15,1,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,586.61,EAST,5668.21,2012,Qtr 3,July,16,Delivery Truck,17.85,New York,145.45,1
New York City,898,Harriet Hodges,Small Business,0.07,Erin,Low,2010,Qtr 3,July,12,1,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,-96.16,EAST,140.23,2010,Qtr 3,July,13,Regular Air,35,New York,20.34,1
New York City,898,Harriet Hodges,Small Business,0.04,Erin,Low,2010,Qtr 3,July,12,1,Technology,Jumbo Drum,Lexmark Z55se Color Inkjet Printer,Office Machines,-173.0952,EAST,573.31,2010,Qtr 3,July,13,Delivery Truck,28,New York,90.97,1
New York City,898,Harriet Hodges,Small Business,0.02,Erin,Low,2010,Qtr 3,July,27,1,Office Supplies,Small Box,Round Specialty Laser Printer Labels,Labels,263.4,EAST,594.44,2010,Qtr 3,July,27,Regular Air,0.49,New York,12.53,1
New York City,898,Harriet Hodges,Small Business,0.07,Erin,Low,2010,Qtr 3,July,27,1,Office Supplies,Wrap Bag,Array® Memo Cubes,Paper,37.31,EAST,228.5,2010,Qtr 3,July,29,Express Air,2.04,New York,5.18,1
New York City,898,Harriet Hodges,Small Business,0.09,Erin,Low,2012,Qtr 4,December,26,1,Office Supplies,Wrap Bag,Staples Bulk Pack Metal Binder Clips,Rubber Bands,56.22,EAST,468.4,2012,Qtr 4,December,28,Regular Air,1.82,New York,6.08,1
New York City,898,Harriet Hodges,Small Business,0.1,Erin,Low,2013,Qtr 2,April,2,1,Office Supplies,Small Box,"Tenex Personal Project File with Scoop Front Design, Black",Storage & Organization,-10.33,EAST,565.01,2013,Qtr 2,April,4,Regular Air,4.51,New York,13.48,1
New York City,1104,Timothy Ross,Home Office,0.01,Erin,Low,2012,Qtr 2,April,12,1,Furniture,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,Chairs & Chairmats,-183.26,EAST,473.88,2012,Qtr 2,April,13,Delivery Truck,30,New York,110.98,1
New York City,1104,Timothy Ross,Home Office,0.07,Erin,Low,2012,Qtr 2,April,12,1,Technology,Small Pack,Accessory39,Telephones and Communication,-133.309,EAST,950.91,2012,Qtr 2,April,14,Regular Air,3.3,New York,20.99,1
New York City,1104,Timothy Ross,Home Office,0.1,Erin,Low,2012,Qtr 2,April,19,1,Furniture,Jumbo Drum,"Global Leather Task Chair, Black",Chairs & Chairmats,-281.76,EAST,798.04,2012,Qtr 2,April,20,Delivery Truck,42,New York,89.99,1
New York City,1104,Timothy Ross,Home Office,0.1,Erin,Low,2012,Qtr 2,April,19,1,Office Supplies,Wrap Bag,Serrated Blade or Curved Handle Hand Letter Openers,"Scissors, Rulers and Trimmers",-33.11,EAST,66.05,2012,Qtr 2,April,19,Express Air,1.92,New York,3.14,1
New York City,1104,Timothy Ross,Home Office,0.04,Erin,Low,2013,Qtr 1,March,23,1,Technology,Small Box,6000,Telephones and Communication,19.997999999999998,EAST,728.03,2013,Qtr 1,March,27,Regular Air,2.5,New York,65.99,1
New York City,1104,Timothy Ross,Home Office,0.03,Erin,Low,2013,Qtr 2,May,18,1,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,67.36000000000007,EAST,3478.39,2013,Qtr 2,May,20,Delivery Truck,14.7,New York,213.45,1
New York City,1104,Timothy Ross,Home Office,0.09,Erin,Low,2013,Qtr 4,October,29,1,Furniture,Small Box,"Eldon® 300 Class™ Desk Accessories, Black",Office Furnishings,-53.06,EAST,236.31,2013,Qtr 4,October,30,Regular Air,5.32,New York,4.95,1
New York City,1104,Timothy Ross,Home Office,0.02,Erin,Low,2013,Qtr 4,November,19,1,Office Supplies,Large Box,Space Solutions Commercial Steel Shelving,Storage & Organization,-309.48,EAST,2813.6,2013,Qtr 4,November,20,Regular Air,35,New York,64.65,1
New York City,1104,Timothy Ross,Home Office,0.02,Erin,Low,2013,Qtr 4,November,19,1,Technology,Wrap Bag,Accessory25,Telephones and Communication,38.907,EAST,1095.23,2013,Qtr 4,November,21,Regular Air,0.99,New York,20.99,1
New York City,1104,Timothy Ross,Home Office,0.05,Erin,Medium,2010,Qtr 2,April,10,1,Office Supplies,Jumbo Drum,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Appliances,772.04,EAST,9492.92,2010,Qtr 2,April,11,Delivery Truck,91.05,New York,328.14,1
New York City,1104,Timothy Ross,Home Office,0.04,Erin,Medium,2011,Qtr 2,May,19,1,Technology,Small Box,i2000,Telephones and Communication,1059.084,EAST,6126.32,2011,Qtr 2,May,20,Regular Air,2.5,New York,125.99,1
New York City,1176,Barbara Saunders,Home Office,0.08,Erin,Low,2011,Qtr 2,May,5,1,Office Supplies,Small Box,Xerox 1881,Paper,25.58,EAST,729.2,2011,Qtr 2,May,5,Regular Air,6.47,New York,12.28,1
New York City,1176,Barbara Saunders,Home Office,0.03,Erin,Low,2012,Qtr 1,March,3,1,Furniture,Small Pack,Nu-Dell Executive Frame,Office Furnishings,-13.59,EAST,22.74,2012,Qtr 1,March,12,Express Air,4.98,New York,12.64,1
New York City,1176,Barbara Saunders,Home Office,0.01,Erin,Low,2013,Qtr 2,April,22,1,Office Supplies,Small Box,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Appliances,-43.48,EAST,44.51,2013,Qtr 2,April,24,Regular Air,6.89,New York,4.06,1
New York City,1246,Lois Hansen,Home Office,0.04,Erin,Low,2010,Qtr 2,April,5,1,Furniture,Small Pack,G.E. Halogen Desk Lamp Bulbs,Office Furnishings,46.01,EAST,129.48,2010,Qtr 2,April,7,Regular Air,2.83,New York,6.98,1
New York City,1246,Lois Hansen,Home Office,0.1,Erin,Low,2010,Qtr 2,April,5,1,Office Supplies,Small Box,"Avery Flip-Chart Easel Binder, Black",Binders and Binder Accessories,-107.5135,EAST,564.98,2010,Qtr 2,April,6,Regular Air,15.1,New York,22.38,1
New York City,1246,Lois Hansen,Home Office,0.01,Erin,Low,2011,Qtr 4,November,30,1,Office Supplies,Small Box,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,74.00949999999999,EAST,1801.44,2011,Qtr 4,December,1,Regular Air,8.83,New York,20.98,1
New York City,1246,Lois Hansen,Home Office,0.04,Erin,Low,2013,Qtr 2,May,24,1,Office Supplies,Small Box,GBC DocuBind P100 Manual Binding Machine,Binders and Binder Accessories,163.8035,EAST,1390.61,2013,Qtr 2,May,26,Regular Air,19.99,New York,165.98,1
New York City,1246,Lois Hansen,Home Office,0.03,Erin,Medium,2010,Qtr 2,May,22,1,Technology,Small Box,Hayes Optima 56K V.90 Internal Voice Modem,Computer Peripherals,1489.8,EAST,8216.28,2010,Qtr 2,May,22,Regular Air,11.25,New York,256.99,1
New York City,1318,Vickie Becker,Home Office,0.01,Erin,Low,2011,Qtr 4,October,4,1,Furniture,Small Pack,"DAX Metal Frame, Desktop, Stepped-Edge",Office Furnishings,35.096,EAST,938.05,2011,Qtr 4,October,6,Regular Air,8.99,New York,20.24,1
New York City,1318,Vickie Becker,Home Office,0.08,Erin,Low,2011,Qtr 4,December,19,1,Office Supplies,Wrap Bag,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Paper,34.48,EAST,261.05,2011,Qtr 4,December,22,Regular Air,1.46,New York,5.68,1
New York City,1318,Vickie Becker,Home Office,0.01,Erin,Low,2011,Qtr 4,December,19,1,Technology,Small Pack,Accessory36,Telephones and Communication,-254.364,EAST,557.17,2011,Qtr 4,December,21,Regular Air,5,New York,55.99,1
New York City,1340,Marie Bass,Home Office,0,Erin,Low,2010,Qtr 3,August,10,1,Office Supplies,Small Box,"Avery Flip-Chart Easel Binder, Black",Binders and Binder Accessories,-52.647,EAST,682.68,2010,Qtr 3,August,17,Express Air,15.1,New York,22.38,1
New York City,1340,Marie Bass,Home Office,0.07,Erin,Low,2010,Qtr 3,August,10,1,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-24.44,EAST,73.44,2010,Qtr 3,August,15,Regular Air,4.69,New York,5.98,1
New York City,1340,Marie Bass,Home Office,0.02,Erin,Low,2010,Qtr 3,August,10,1,Technology,Small Pack,Accessory24,Telephones and Communication,366.507,EAST,2997.07,2010,Qtr 3,August,10,Regular Air,3.3,New York,55.99,1
New York City,1340,Marie Bass,Home Office,0.07,Erin,Low,2010,Qtr 4,December,6,1,Office Supplies,Wrap Bag,Fluorescent Highlighters by Dixon,Pens & Art Supplies,27.38,EAST,282.85,2010,Qtr 4,December,9,Regular Air,0.83,New York,3.98,1
New York City,1340,Marie Bass,Home Office,0.07,Erin,Low,2011,Qtr 2,June,5,1,Technology,Small Pack,"Memorex 80 Minute CD-R, 30/Pack",Computer Peripherals,115.54,EAST,718.08,2011,Qtr 2,June,6,Regular Air,1.99,New York,22.98,1
New York City,1340,Marie Bass,Home Office,0.05,Erin,Low,2012,Qtr 2,May,16,1,Office Supplies,Large Box,Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room,Appliances,171.26,EAST,2172.93,2012,Qtr 2,May,18,Express Air,19.95,New York,76.72,1
New York City,1340,Marie Bass,Home Office,0.09,Erin,Low,2012,Qtr 3,August,8,1,Office Supplies,Small Box,Home/Office Personal File Carts,Storage & Organization,63.83,EAST,1287.53,2012,Qtr 3,August,10,Express Air,5.49,New York,34.76,1
New York City,1340,Marie Bass,Home Office,0.08,Erin,Low,2012,Qtr 3,August,8,1,Office Supplies,Small Box,Xerox 1929,Paper,52.02,EAST,540.46,2012,Qtr 3,August,10,Regular Air,5.47,New York,22.84,1
New York City,1340,Marie Bass,Home Office,0.05,Erin,Low,2012,Qtr 3,September,12,1,Office Supplies,Small Box,Xerox 1982,Paper,-39.92,EAST,217.74,2012,Qtr 3,September,14,Regular Air,16.87,New York,22.84,1
New York City,1340,Marie Bass,Home Office,0.03,Erin,Low,2013,Qtr 2,April,27,1,Technology,Small Box,8260,Telephones and Communication,337.041,EAST,2205.76,2013,Qtr 2,April,28,Regular Air,8.99,New York,65.99,1
New York City,1340,Marie Bass,Home Office,0,Erin,Low,2013,Qtr 4,December,6,1,Technology,Small Pack,"IBM 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,-10.59,EAST,338.22,2013,Qtr 4,December,8,Regular Air,1.99,New York,20.89,1
New York City,1488,Anthony Goodwin,Home Office,0.06,Erin,High,2012,Qtr 2,June,13,1,Office Supplies,Jumbo Drum,Avanti 4.4 Cu. Ft. Refrigerator,Appliances,433.63,EAST,12883.06,2012,Qtr 2,June,15,Delivery Truck,55.24,New York,180.98,1
New York City,1488,Anthony Goodwin,Home Office,0.01,Erin,Low,2011,Qtr 2,May,3,1,Technology,Small Pack,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Computer Peripherals,191.29,EAST,1046.05,2011,Qtr 2,May,3,Regular Air,1.99,New York,29.89,1
New York City,1488,Anthony Goodwin,Home Office,0.06,Erin,Low,2011,Qtr 3,September,25,1,Technology,Small Box,Talkabout T8367,Telephones and Communication,324.92699999999996,EAST,3761.12,2011,Qtr 3,September,26,Regular Air,8.99,New York,65.99,1
New York City,1488,Anthony Goodwin,Home Office,0.09,Erin,Low,2012,Qtr 3,September,26,1,Office Supplies,Small Box,Xerox 1989,Paper,-67.79,EAST,266.59,2012,Qtr 3,September,27,Regular Air,5.02,New York,4.98,1
New York City,1488,Anthony Goodwin,Home Office,0.01,Erin,Low,2012,Qtr 3,September,26,1,Office Supplies,Wrap Bag,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Paper,102.58,EAST,803.21,2012,Qtr 3,September,26,Regular Air,2.87,New York,8.01,1
New York City,1488,Anthony Goodwin,Home Office,0.04,Erin,Medium,2012,Qtr 3,August,25,1,Furniture,Medium Box,SAFCO Folding Chair Trolley,Chairs & Chairmats,1467.82,EAST,9661.51,2012,Qtr 3,August,27,Express Air,12.65,New York,128.24,1
New York City,1773,Nicole Harris,Corporate,0.06,Erin,Low,2011,Qtr 3,July,16,1,Technology,Small Pack,"Maxell Pro 80 Minute CD-R, 10/Pack",Computer Peripherals,-18.84,EAST,192.21,2011,Qtr 3,July,17,Regular Air,1.99,New York,17.48,1
New York City,1773,Nicole Harris,Corporate,0.05,Erin,Low,2012,Qtr 2,June,13,1,Office Supplies,Wrap Bag,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,125.65,EAST,502.34,2012,Qtr 2,June,18,Express Air,1.02,New York,6.35,1
New York City,1773,Nicole Harris,Corporate,0.01,Erin,Low,2013,Qtr 4,December,24,1,Office Supplies,Small Pack,Barrel Sharpener,Pens & Art Supplies,-71.52,EAST,185.06,2013,Qtr 4,December,28,Regular Air,4.17,New York,3.57,1
New York City,1773,Nicole Harris,Corporate,0.04,Erin,Low,2013,Qtr 4,December,24,1,Technology,Small Box,5170,Telephones and Communication,89.892,EAST,1977.29,2013,Qtr 4,December,29,Regular Air,4.2,New York,65.99,1
New York City,1773,Nicole Harris,Corporate,0.1,Erin,Medium,2012,Qtr 2,June,13,1,Furniture,Large Box,SAFCO Arco Folding Chair,Chairs & Chairmats,454.26,EAST,5261,2012,Qtr 2,June,17,Regular Air,24.49,New York,276.2,1
New York City,1821,Vanessa Boyer,Consumer,0.01,Erin,Low,2010,Qtr 3,August,5,1,Office Supplies,Small Pack,Staples Battery-Operated Desktop Pencil Sharpener,Pens & Art Supplies,40.92,EAST,809.51,2010,Qtr 3,August,7,Regular Air,2.89,New York,10.48,1
New York City,1821,Vanessa Boyer,Consumer,0.07,Erin,Low,2010,Qtr 4,October,15,1,Furniture,Small Pack,3M Polarizing Light Filter Sleeves,Office Furnishings,149.72,EAST,643.64,2010,Qtr 4,October,16,Regular Air,3.77,New York,18.65,1
New York City,1821,Vanessa Boyer,Consumer,0.1,Erin,Low,2010,Qtr 4,October,15,1,Office Supplies,Small Box,Xerox 1896,Paper,7.959999999999999,EAST,466.58,2010,Qtr 4,October,18,Express Air,4.78,New York,9.99,1
New York City,1821,Vanessa Boyer,Consumer,0.06,Erin,Low,2010,Qtr 4,October,15,1,Technology,Medium Box,Canon P1-DHIII Palm Printing Calculator,Office Machines,-52.49232,EAST,244.31,2010,Qtr 4,October,17,Regular Air,8.51,New York,17.98,1
New York City,1821,Vanessa Boyer,Consumer,0.08,Erin,Low,2010,Qtr 4,October,15,1,Technology,Small Box,2180,Telephones and Communication,-459.0828,EAST,2290.69,2010,Qtr 4,October,16,Express Air,8.99,New York,175.99,1
New York City,1821,Vanessa Boyer,Consumer,0.03,Erin,Low,2011,Qtr 1,February,17,1,Office Supplies,Small Box,Belkin Premiere Surge Master II 8-outlet surge protector,Appliances,118.32,EAST,558.62,2011,Qtr 1,February,19,Regular Air,3.99,New York,48.58,1
New York City,1821,Vanessa Boyer,Consumer,0.08,Erin,Low,2011,Qtr 1,March,7,1,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,51.85,EAST,857.95,2011,Qtr 1,March,7,Express Air,4,New York,43.22,1
New York City,1821,Vanessa Boyer,Consumer,0.09,Erin,Low,2011,Qtr 1,March,17,1,Office Supplies,Small Box,Xerox 1920,Paper,-132.93,EAST,195.57,2011,Qtr 1,March,18,Regular Air,7.5,New York,5.98,1
New York City,1821,Vanessa Boyer,Consumer,0.1,Erin,Low,2011,Qtr 2,May,6,1,Office Supplies,Small Box,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Appliances,-21.29,EAST,35.48,2011,Qtr 2,May,6,Regular Air,6.89,New York,4.06,1
New York City,1821,Vanessa Boyer,Consumer,0.05,Erin,Low,2011,Qtr 2,May,6,1,Office Supplies,Small Box,Recycled Premium Regency Composition Covers,Binders and Binder Accessories,-37.3865,EAST,259.74,2011,Qtr 2,May,11,Regular Air,10.91,New York,15.28,1
New York City,1821,Vanessa Boyer,Consumer,0.06,Erin,Low,2011,Qtr 3,August,7,1,Office Supplies,Medium Box,Eldon Simplefile® Box Office®,Storage & Organization,-37.04,EAST,312.3,2011,Qtr 3,August,9,Regular Air,6.27,New York,12.44,1
New York City,1821,Vanessa Boyer,Consumer,0.06,Erin,Low,2012,Qtr 3,August,3,1,Technology,Medium Box,TI 30X Scientific Calculator,Office Machines,12.73,EAST,975.37,2012,Qtr 3,August,5,Regular Air,5.99,New York,11.99,1
New York City,1821,Vanessa Boyer,Consumer,0,Erin,Low,2012,Qtr 3,September,24,1,Office Supplies,Large Box,Euro Pro Shark Stick Mini Vacuum,Appliances,-219.61,EAST,994.4,2012,Qtr 3,September,26,Regular Air,49,New York,60.98,1
New York City,1821,Vanessa Boyer,Consumer,0.1,Erin,Low,2012,Qtr 4,October,9,1,Office Supplies,Small Box,Tuff Stuff™ Recycled Round Ring Binders,Binders and Binder Accessories,3.1212,EAST,86.52,2012,Qtr 4,October,11,Regular Air,1.49,New York,4.82,1
New York City,1821,Vanessa Boyer,Consumer,0.02,Erin,Low,2012,Qtr 4,October,9,1,Office Supplies,Small Box,Xerox 1994,Paper,-50.843999999999994,EAST,341.1,2012,Qtr 4,October,11,Regular Air,5.74,New York,6.48,1
New York City,1821,Vanessa Boyer,Consumer,0.1,Erin,Low,2013,Qtr 3,July,21,1,Technology,Small Pack,Accessory9,Telephones and Communication,82.818,EAST,642.05,2013,Qtr 3,July,22,Regular Air,3.3,New York,35.99,1
New York City,1821,Vanessa Boyer,Consumer,0.08,Erin,Medium,2013,Qtr 3,July,21,1,Furniture,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Chairs & Chairmats,768.06,EAST,8676.63,2013,Qtr 3,July,23,Delivery Truck,30,New York,160.98,1
New York City,2189,Frank Cross,Corporate,0.05,Erin,High,2013,Qtr 4,October,14,1,Technology,Jumbo Drum,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Office Machines,7434.48,EAST,36532.46,2013,Qtr 4,October,16,Delivery Truck,28.14,New York,500.98,1
New York City,2189,Frank Cross,Corporate,0.09,Erin,Low,2010,Qtr 2,May,8,1,Office Supplies,Small Box,Brown Kraft Recycled Envelopes,Envelopes,-48.57,EAST,381.91,2010,Qtr 2,May,10,Regular Air,12.39,New York,16.98,1
New York City,2189,Frank Cross,Corporate,0.03,Erin,Low,2012,Qtr 1,February,20,1,Office Supplies,Small Box,Belkin 5 Outlet SurgeMaster™ Power Centers,Appliances,547.48,EAST,1720.12,2012,Qtr 1,February,21,Regular Air,0.99,New York,54.48,1
New York City,2189,Frank Cross,Corporate,0,Erin,Low,2012,Qtr 1,February,20,1,Technology,Small Box,M70,Telephones and Communication,653.058,EAST,3713.93,2012,Qtr 1,February,21,Regular Air,8.99,New York,125.99,1
New York City,2189,Frank Cross,Corporate,0.08,Erin,Low,2013,Qtr 4,October,14,1,Office Supplies,Small Box,Xerox 1893,Paper,67.61,EAST,1668.07,2013,Qtr 4,October,17,Regular Air,17.48,New York,40.99,1
New York City,2303,Joe Baldwin,Corporate,0.1,Erin,Low,2010,Qtr 3,July,3,1,Furniture,Jumbo Box,Bevis Round Conference Table Top & Single Column Base,Tables,-270.85,EAST,850.64,2010,Qtr 3,July,4,Delivery Truck,43.75,New York,146.34,1
New York City,2303,Joe Baldwin,Corporate,0.06,Erin,Low,2012,Qtr 3,September,27,1,Technology,Small Box,T60,Telephones and Communication,-301.675,EAST,947.97,2012,Qtr 3,September,29,Regular Air,4.9,New York,95.99,1
New York City,2303,Joe Baldwin,Corporate,0.01,Erin,Low,2012,Qtr 4,December,30,1,Office Supplies,Small Box,Xerox 1922,Paper,-160.71,EAST,418.66,2013,Qtr 1,January,1,Regular Air,7.44,New York,4.98,1
New York City,2303,Joe Baldwin,Corporate,0.1,Erin,Low,2013,Qtr 3,July,3,1,Office Supplies,Small Box,Round Specialty Laser Printer Labels,Labels,137.47,EAST,414.1,2013,Qtr 3,July,4,Regular Air,0.49,New York,12.53,1
